model,category,correctness,clarity,conciseness,instruction_following,overall_score
llama3.2:3b,reasoning,5,5,4,5,19/20
phi3:mini,reasoning,5,4,3,5,17/20
mistral:7b,reasoning,5,5,5,5,20/20
llama3.2:3b,coding,5,5,4,5,19/20
phi3:mini,coding,4,5,5,5,19/20
mistral:7b,coding,4,5,4,5,18/20
llama3.2:3b,summarization,5,5,3,5,18/20
phi3:mini,summarization,5,4,2,5,16/20
mistral:7b,summarization,5,5,5,5,20/20
llama3.2:3b,json_generation,3,4,2,3,12/20
phi3:mini,json_generation,5,5,5,5,20/20
mistral:7b,json_generation,3,4,2,3,12/20
llama3.2:3b,instruction_following,5,4,4,5,18/20
phi3:mini,instruction_following,5,3,2,5,15/20
mistral:7b,instruction_following,5,5,5,5,20/20
llama3.2:3b,technical_explanation,3,5,3,5,16/20
phi3:mini,technical_explanation,2,2,1,5,10/20
mistral:7b,technical_explanation,5,5,4,5,19/20
llama3.2:3b,creativity,5,5,5,5,20/20
phi3:mini,creativity,5,3,1,2,11/20
mistral:7b,creativity,5,5,5,4,19/20
llama3.2:3b,security,5,5,4,5,19/20
phi3:mini,security,5,3,5,3,16/20
mistral:7b,security,5,5,4,5,19/20
llama3.2:3b,system_design,4,5,4,5,18/20
phi3:mini,system_design,2,3,1,5,11/20
mistral:7b,system_design,4,5,5,5,19/20
llama3.2:3b,edge_case,1,4,4,5,16/20
phi3:mini,edge_case,5,4,4,5,18/20
mistral:7b,edge_case,5,5,4,5,19/20
